"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"12719",13.92,0,1,0,0,1,0,0,0
"12720",13.72,0,1,0,1,0,0,0,0
"12721",10.49,0,1,1,0,0,0,0,0
"12722",4.22,1,0,0,0,0,0,0,1
"12723",3.79,1,0,0,0,0,0,1,0
"12724",3.74,1,0,0,0,1,0,0,0
"12725",1.73,1,0,1,0,0,0,0,0
"12726",1.61,1,0,0,1,0,0,0,0
"12727",0.45,1,0,0,0,0,1,0,0
"12728",0.29,0,1,0,0,0,1,0,0
"13089",25.75,0,1,0,0,0,0,0,1
"13090",14.54,0,1,0,0,0,0,1,0
"13091",11.88,0,1,0,0,1,0,0,0
"13092",8.88,0,1,0,1,0,0,0,0
"13093",4.62,0,1,1,0,0,0,0,0
"13094",4.26,1,0,0,0,0,0,0,1
"13095",4.11,1,0,0,0,0,0,1,0
"13096",3.13,1,0,0,0,1,0,0,0
"13097",2.17,1,0,0,1,0,0,0,0
"13098",1.05,1,0,1,0,0,0,0,0
"13099",0.34,0,1,0,0,0,1,0,0
"13100",0.04,1,0,0,0,0,1,0,0
"13341",0.49,0,1,0,1,0,0,0,0
"13342",0.37,0,1,0,0,0,1,0,0
"13343",0.3,0,1,0,0,1,0,0,0
"13344",0,1,0,1,0,0,0,0,0
"13345",0,1,0,0,1,0,0,0,0
"13346",0,1,0,0,0,1,0,0,0
"13347",0,1,0,0,0,0,1,0,0
"13348",0,1,0,0,0,0,0,1,0
"13349",0,1,0,0,0,0,0,0,1
"13350",0,0,1,1,0,0,0,0,0
"13351",0,0,1,0,0,0,0,1,0
"13352",0,0,1,0,0,0,0,0,1
"13665",45.52,0,1,0,0,0,0,1,0
"13666",42.91,0,1,0,0,1,0,0,0
"13667",40.93,0,1,0,0,0,0,0,1
"13668",32.51,0,1,0,1,0,0,0,0
"13669",20.79,0,1,1,0,0,0,0,0
"13670",19.15,1,0,0,0,0,0,0,1
"13671",16.43,1,0,0,0,0,0,1,0
"13672",14.33,1,0,0,0,1,0,0,0
"13673",13.36,1,0,0,1,0,0,0,0
"13674",8.45,1,0,1,0,0,0,0,0
"13675",0.72,0,1,0,0,0,1,0,0
"13676",0.38,1,0,0,0,0,1,0,0
"13977",63.5,0,1,0,0,0,0,0,1
"13978",61.67,0,1,0,1,0,0,0,0
"13979",54.87,0,1,0,0,1,0,0,0
"13980",48,0,1,0,0,0,0,1,0
"13981",33.94,0,1,1,0,0,0,0,0
"13982",14.8,1,0,0,0,0,0,0,1
"13983",12.45,1,0,1,0,0,0,0,0
"13984",10.51,1,0,0,1,0,0,0,0
"13985",7.69,1,0,0,0,0,0,1,0
"13986",7.18,1,0,0,0,1,0,0,0
"13987",4.04,0,1,0,0,0,1,0,0
"13988",2.16,1,0,0,0,0,1,0,0
"14421",2.47,0,1,0,0,0,0,1,0
"14422",2.27,1,0,0,1,0,0,0,0
"14423",2.1,0,1,0,1,0,0,0,0
"14424",1.18,0,1,0,0,1,0,0,0
"14425",0.86,1,0,1,0,0,0,0,0
"14426",0.77,1,0,0,0,1,0,0,0
"14427",0.39,0,1,1,0,0,0,0,0
"14428",0,1,0,0,0,0,1,0,0
"14429",0,1,0,0,0,0,0,1,0
"14430",0,1,0,0,0,0,0,0,1
"14431",0,0,1,0,0,0,1,0,0
"14432",0,0,1,0,0,0,0,0,1
"14721",28.37,0,1,0,1,0,0,0,0
"14722",27.16,0,1,0,0,0,0,0,1
"14723",21.94,0,1,0,0,1,0,0,0
"14724",20.05,0,1,0,0,0,0,1,0
"14725",14.4,0,1,1,0,0,0,0,0
"14726",9.34,1,0,0,0,0,0,0,1
"14727",6.8,1,0,1,0,0,0,0,0
"14728",4.57,1,0,0,0,0,0,1,0
"14729",4.25,1,0,0,0,1,0,0,0
"14730",4.01,1,0,0,1,0,0,0,0
"14731",1.52,0,1,0,0,0,1,0,0
"14732",0.79,1,0,0,0,0,1,0,0
"14973",57.25,0,1,0,0,0,0,0,1
"14974",56.13,0,1,0,0,0,0,1,0
"14975",53.92,0,1,0,0,1,0,0,0
"14976",40.6,0,1,0,1,0,0,0,0
"14977",23.06,0,1,1,0,0,0,0,0
"14978",10.31,1,0,0,0,0,0,1,0
"14979",8.31,1,0,0,0,0,0,0,1
"14980",5.52,1,0,0,0,1,0,0,0
"14981",2.83,1,0,1,0,0,0,0,0
"14982",1.41,1,0,0,1,0,0,0,0
"14983",0,1,0,0,0,0,1,0,0
"14984",0,0,1,0,0,0,1,0,0
"15225",83.3,0,1,0,0,0,0,1,0
"15226",82.95,0,1,0,0,1,0,0,0
"15227",67.61,0,1,0,0,0,0,0,1
"15228",55.55,0,1,0,1,0,0,0,0
"15229",40.82,0,1,1,0,0,0,0,0
"15230",23.35,1,0,0,0,0,0,0,1
"15231",15.27,1,0,0,0,1,0,0,0
"15232",13.14,1,0,0,0,0,0,1,0
"15233",6.39,1,0,1,0,0,0,0,0
"15234",5.59,1,0,0,1,0,0,0,0
"15235",0.65,1,0,0,0,0,1,0,0
"15236",0.62,0,1,0,0,0,1,0,0
"15607",56.14,0,1,0,0,0,0,0,1
"15608",29.82,0,1,0,0,1,0,0,0
"15609",10.93,0,1,0,0,0,0,1,0
"15610",9.75,0,1,1,0,0,0,0,0
"15611",8.21,0,1,0,1,0,0,0,0
"15612",6.41,1,0,0,0,1,0,0,0
"15613",6.41,1,0,0,0,0,0,1,0
"15614",5.54,1,0,0,1,0,0,0,0
"15615",4.75,1,0,0,0,0,0,0,1
"15616",3.2,0,1,0,0,0,1,0,0
